source,checked_date,extension_identifier,msft_classification_type,msft_removed_date,captured,version_count,latest_version,capture_date
removed_list,2026-08-21,06a678fb-6fc1-623d-88d6-77ab9a4932cc.open-vs-embedded-browser,Impersonation,2026-03-21,no,0,none,none
removed_list,2026-08-21,0miles.vscode-git-graph-alter,Impersonation,2026-06-15,no,0,none,none
removed_list,2026-08-21,0x141c6.auto-open-previews,Untrustworthy,2026-07-10,no,0,none,none
removed_list,2026-08-21,0x7a69.whhid,Untrustworthy,2026-06-20,no,0,none,none
removed_list,2026-08-21,0xS1rx58D3V.ChatGPT-B0T,Malware,2025-03-18,no,0,none,none
removed_list,2026-08-21,11011.blenderPluginDevTool11011,Impersonation,2026-02-17,no,0,none,none
removed_list,2026-08-21,11011.markdown-shortcuts-like-obsidian-merge,Impersonation,2026-02-17,no,0,none,none
removed_list,2026-08-21,11011.markdown-shortcuts-like-obsidian-ob,Impersonation,2026-02-17,no,0,none,none
removed_list,2026-08-21,11011.ubuntutheme11011,Impersonation,2026-02-17,no,0,none,none
removed_list,2026-08-21,128BitStudios.codex-stats-updated,Impersonation,2026-07-15,no,0,none,none
removed_list,2026-08-21,318182456.legado-reader3-vscode,Impersonation,2026-03-21,no,0,none,none
removed_list,2026-08-21,360-Geelib-Copilot-Code.geelibcopilotcode,Impersonation,2026-06-16,no,0,none,none
removed_list,2026-08-21,498-00.cppformat,Malware,2025-10-02,no,0,none,none
removed_list,2026-08-21,498-00.cppplayground,Malware,2025-10-02,no,0,none,none
removed_list,2026-08-21,498-00.pythonformat,Malware,2025-10-02,no,0,none,none
malicious_list,2026-08-21,498.pythonformat,Malicious,none,no,0,none,none
removed_list,2026-08-21,4t-ia.4t-ia,Untrustworthy,2026-01-31,no,0,none,none
removed_list,2026-08-21,617694668.cline-cn,Impersonation,2026-04-10,no,0,none,none
removed_list,2026-08-21,64kramsystem.vscode-open-in-github-wiki-fixed,Impersonation,2026-05-27,no,0,none,none
removed_list,2026-08-21,71eb6d78-f65c-69f8-a0fd-58407e50bfc6.market,Spam,2025-12-01,no,0,none,none
removed_list,2026-08-21,71eb6d78-f65c-69f8-a0fd-58407e50bfc6.twilightofthewarriorswalledin,Spam,2025-12-01,no,0,none,none
removed_list,2026-08-21,71eb6d78-f65c-69f8-a0fd-58407e50bfc6.twilightofthewarriorswalledinhdtw,Spam,2025-12-01,no,0,none,none
removed_list,2026-08-21,723Studio.fta-ruleset-tools,Impersonation,2026-02-17,no,0,none,none
removed_list,2026-08-21,77qingliu.sas-syntax,Impersonation,2025-12-03,no,0,none,none
removed_list,2026-08-21,7finney.ethcode,Malware,2025-06-26,no,0,none,none
removed_list,2026-08-21,8bitZeta.Nand2Tetris-8bit,Impersonation,2026-03-21,no,0,none,none
malicious_list,2026-08-21,A-M.angelica-color-theme,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idMorePosts930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idPostsManager930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idactionscriptfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idadafun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idaifun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idamazonfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idandroidfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idapifun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idassemblyfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idautofun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idawkfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idawsfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idaxiosfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idbabelfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idbashfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idbasicfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idca17fun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idca24a24fun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idchatgptfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idclojurefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcobolfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcodefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcommentfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcssfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idcythonfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idd3a1jsfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.iddartfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.iddatafun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.iddelphifun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.iddockerfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idelixirfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.iderlangfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.ideslintfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idexpressfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idfa17fun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idfirebasefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idfortranfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgeminifun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgitfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgithubfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgofun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgooglefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgradlefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idgroovyfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idhaskellfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idhtmlfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idiconfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjavafun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjavascriptfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjqueryfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjsonfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjupiterfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idjupyterfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idkotlinfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idlispfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idlodashfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idluafun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idmachinea31learningfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idmarkdownfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idmatlabfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idmlfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idmyfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idnodefun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idnotebookfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idnpmfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idobjectivea2cfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idopenclfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idpascalfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idperlfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idphpfun930470,Malicious,none,no,0,none,none
malicious_list,2026-08-21,A-M.idprettierfun930470,Malicious,none,no,0,none,none
